ID,productName,price,desciption,linkToDetails,imgPath
1,Pc Portable LENOVO LEGION Y520 I5 7é Gén 4Go 2To (80WK01E3FG),"1 999,000 DT","Ecran&nbsp;15.6"" IPS Full HD (1920 x 1080) - Processeur:&nbsp;Intel Core i5-7300HQ&nbsp;7ème génération&nbsp;(2,50 GHz Up to 3.50 GHz,&nbsp;6 Mo de mémoire Cache) - Systéme d'exploitation:&nbsp;FreeDos -&nbsp;Mémoire RAM: 8Go&nbsp;DDR4 - Disque Dur: 2To -&nbsp;Carte graphique: Nvidea Geforce&nbsp;GTX 1050, (4&nbsp;Go&nbsp;DDR5 de mémoire&nbsp;dédiée)&nbsp;avec Wifi, Bluetooth, Webcam -&nbsp;Garantie 2 ans Retrait en Magasin ou...",https://www.mytek.tn/pc-gamer-/17585-pc-portable-lenovo-legion-y520-i5-7e-gen-4go-2to-80wk01e3fg.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/3/7/0/3/63703-product_category.jpg
2,PC Portable DELL Inspiron 7577 i5 7è Gén 8Go 1To Rouge,"2 069,000 DT","Ecran:&nbsp;15.6''&nbsp;FULL HD&nbsp;(1920 x 1080 px) - Processeur:&nbsp;Intel Core&nbsp;i5-7300HQ&nbsp;7ème génération (&nbsp;2.5 GHz&nbsp;jusqu‘à 3.5 GHz,&nbsp;6 Mo&nbsp;de mémoire cache,&nbsp;Quad-Core) - Systéme d'exploitation:&nbsp;FreeDos&nbsp;-&nbsp;Mémoire RAM:&nbsp;8Go&nbsp;DDR4&nbsp;2400 MHz -&nbsp;Disque Dur:&nbsp;1 To&nbsp;HDD -&nbsp;Carte Graphique:&nbsp;Nvidia GeForce&nbsp;GTX&nbsp;1050&nbsp;(4Go&nbsp;de mémoire&nbsp;GDDR5)&nbsp;avec USB&nbsp;3.1 Gén.&nbsp;1 , USB&nbsp;3.1 Type-C , HDMI,...",https://www.mytek.tn/pc-portable/17877-pc-portable-dell-inspiron-7577-i5-7e-gen-8go-1to-rouge.html,https://d2j7t5u190oygv.cloudfront.net/img/p/5/9/0/2/5/59025-product_category.jpg
3,PC Portable DELL Inspiron 7577 i5 7è Gén 8Go 1To Noir,"2 069,000 DT","Ecran:&nbsp;15.6''&nbsp;FULL HD&nbsp;(1920 x 1080 px) - Processeur:&nbsp;Intel Core&nbsp;i5-7300HQ&nbsp;7ème génération (&nbsp;2.5 GHz&nbsp;jusqu‘à 3.5 GHz,&nbsp;6Mo&nbsp;de mémoire cache,&nbsp;Quad-Core) - Systéme d'exploitation:&nbsp;FreeDos&nbsp;-&nbsp;Mémoire RAM:&nbsp;8Go&nbsp;DDR4&nbsp;2400 MHz -&nbsp;Disque Dur:&nbsp;1 To&nbsp;HDD -&nbsp;Carte Graphique:&nbsp;Nvidia GeForce&nbsp;GTX&nbsp;1050&nbsp;(4Go&nbsp;de mémoire&nbsp;GDDR5)&nbsp;avec USB&nbsp;3.1 Gén.&nbsp;1 , USB&nbsp;3.1 Type-C , HDMI,...",https://www.mytek.tn/pc-gamer-tunisie/17875-pc-portable-dell-inspiron-7577-i5-7e-gen-8go-1to-noir.html,https://d2j7t5u190oygv.cloudfront.net/img/p/5/9/0/2/2/59022-product_category.jpg
4,Pc Portable HP OMEN 15-ce011nk i5 7è Gén 8Go 1To (3YD35EA),"2 075,000 DT","Ecran&nbsp;15.6''&nbsp;FHD IPS&nbsp;-&nbsp;Processeur:&nbsp;Intel Core&nbsp;i5-7300HQ 7ème Génération&nbsp;(2,5 GHz&nbsp;up to 3.5 Ghz, 6Mo de mémoire cache, Quad-Core) -&nbsp;Systéme d'exploitaton:&nbsp;FreeDos&nbsp;-&nbsp;Mémoire RAM:&nbsp;8 Go&nbsp;DDR4&nbsp;-&nbsp;Disque Dur:&nbsp;1 To,&nbsp;SATA 7200&nbsp;tr/min&nbsp;-&nbsp;Carte Graphique:&nbsp;NVIDIA GeForce GTX 1050, (2 Go de mémoire&nbsp;GDDR5&nbsp;dédiée) avec Wifi - Bluetooth -&nbsp;Couleur:&nbsp;Noir -&nbsp;Garantie 1 an...",https://www.mytek.tn/pc-gamer-/19340-pc-portable-hp-omen-15-ce011nk-i5-7e-gen-8go-1to-3yd35ea.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/1/9/5/1/61951-product_category.jpg
5,Pc Portable HP OMEN 15-ce009nk i7 7é Gén 8Go 1To,"2 139,000 DT","Ecran&nbsp;15,6""&nbsp;FHD IPS&nbsp;-&nbsp;Processeur:&nbsp;Intel® Core™&nbsp;i7-7700HQ,&nbsp;7éme Génération&nbsp;(2,8&nbsp;GHz, up to&nbsp;3,8&nbsp;GHz -&nbsp;6 Mo&nbsp;de mémoire cache,&nbsp;4 cœurs) -&nbsp;Systéme d'exploitation:&nbsp;Windows 10 Famille 64&nbsp;-&nbsp;Mémoire RAM:&nbsp;8&nbsp;Go&nbsp;SDRAM DDR4-2400 -&nbsp;Disque Dur:&nbsp;1&nbsp;To,&nbsp;7200 tr/min -&nbsp;Carte Graphique:&nbsp;NVIDIA® GeForce®&nbsp;GTX 1050 (4 Go&nbsp;de mémoire GDDR5 dédiée) -&nbsp;Wifi - Bluetooth - 1x USB 3.1...",https://www.mytek.tn/pc-gamer-tunisie/14794-pc-portable-hp-omen-15-ce009nk-i7-7e-gen-8go-1to.html,https://d2j7t5u190oygv.cloudfront.net/img/p/5/2/0/7/5/52075-product_category.jpg
6,Pc Portable HP OMEN 15-ce011nk i5 7è Gén 12Go 1To (3YD35EA),"2 225,000 DT","Ecran&nbsp;15.6''&nbsp;FHD IPS&nbsp;-&nbsp;Processeur:&nbsp;Intel Core&nbsp;i5-7300HQ 7ème Génération&nbsp;(2,5 GHz&nbsp;up to 3.5 Ghz, 6Mo de mémoire cache, Quad-Core) -&nbsp;Systéme d'exploitaton:&nbsp;FreeDos&nbsp;-&nbsp;Mémoire RAM:&nbsp;12&nbsp;Go&nbsp;DDR4&nbsp;-&nbsp;Disque Dur:&nbsp;1 To,&nbsp;SATA 7200&nbsp;tr/min&nbsp;-&nbsp;Carte Graphique:&nbsp;NVIDIA GeForce GTX 1050, (2 Go de mémoire&nbsp;GDDR5&nbsp;dédiée) avec Wifi - Bluetooth -&nbsp;Couleur:&nbsp;Noir -&nbsp;Garantie 1 an...",https://www.mytek.tn/pc-gamer-/20069-pc-portable-hp-omen-15-ce011nk-i5-7e-gen-12go-1to-3yd35ea.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/3/3/3/0/63330-product_category.jpg
7,Pc Portable MSI GL62M 7RDX-2038XFR i5 7é Gén 8Go 1To,"2 249,000 DT","Ecran 15.6""&nbsp;Full HD&nbsp;(1920 x 1080 pixels) - Processeur:&nbsp;Intel Core i5-7300HQ&nbsp;(Quad-Core, 2.5 GHz up to 3.5 GHz Turbo - 6 Mo de mémoire cache) - Systéme d'exploitation: FreeDos - Mémoire RAM:&nbsp;8 Go&nbsp;DDR4 -&nbsp;Disque dur: 1To SATA 7200 RPM - Carte&nbsp;graphique&nbsp;NVIDIA GeForce GTX 1050&nbsp;avec (2 Go&nbsp; de mémoire dédiée GDDR5) avec&nbsp;Wi-Fi&nbsp;AC&nbsp;et&nbsp;Bluetooth 4.2 - Garantie: 1an",https://www.mytek.tn/pc-gamer-/13887-pc-portable-msi-gl62m-7rdx-2038xfr-i5-7e-gen-8go-1to.html,https://d2j7t5u190oygv.cloudfront.net/img/p/5/0/4/4/1/50441-product_category.jpg
8,Pc Portable HP OMEN 15-ax209nk i7 7è Gén 12Go 1To (3RM82EA),"2 299,000 DT","Ecran&nbsp;15.6''&nbsp;FHD IPS&nbsp;( 1920 x 1080 ) -&nbsp;Processeur:&nbsp;Intel Core&nbsp;i7-7700HQ, 7éme Génération&nbsp;(2,8 GHz&nbsp;up to 3.8 Ghz, 6Mo de mémoire cache, Quad-Core) -&nbsp;Systéme d'exploitaton:&nbsp;Free Dos&nbsp;-&nbsp;Mémoire RAM:&nbsp;12 Go&nbsp;DDR4&nbsp;-&nbsp;Disque Dur:&nbsp;1 To,&nbsp;SATA 7200&nbsp;tr/min&nbsp;-&nbsp;Carte Graphique:&nbsp;NVIDIA GeForce GTX 1050, (4 Go de mémoire&nbsp;GDDR5&nbsp;dédiée) - Clavier rétroéclairés de type Chiclet...",https://www.mytek.tn/pc-portable/15838-pc-portable-hp-omen-15-ax209nk-i7-7e-gen-12go-1to-3rm82ea.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/1/9/5/8/61958-product_category.jpg
9,Pc Portable ASUS TUF FX504GD i5 8é Gén 8Go 1To+8 Go SSHD Noir,"2 339,000 DT","Ecran&nbsp;15,6""&nbsp;Full HD&nbsp;(1920 x1080 px) -&nbsp;Processeur:&nbsp;Intel® Core™&nbsp;i5-8300HQ&nbsp;8éme Génération, (2.3 Ghz&nbsp;up to 4.0&nbsp;Ghz,&nbsp;8&nbsp;Mo&nbsp;de mémoire cache,&nbsp;Quad-Core) -&nbsp;Système d'exploitation:&nbsp;FreeDos&nbsp;-&nbsp;Mémoire RAM:&nbsp;8Go&nbsp;DDR4&nbsp;-&nbsp;Disque Dur:&nbsp;1 To + 8 Go SSHD&nbsp;-&nbsp;Carte Graphique:&nbsp;NVIDIA® GeForce®&nbsp;GTX&nbsp;1050&nbsp;(4Go&nbsp;GDDR5&nbsp;de mémoire dédiée&nbsp;) avec WiFi, Ethernet, Bluetooth - Clavier...",https://www.mytek.tn/pc-gamer-/19229-pc-portable-asus-tuf-fx504gd-i5-8e-gen-8go-1to8-go-sshd-noir.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/1/7/1/7/61717-product_category.jpg
10,PC Portable DELL Inspiron 7577 i7 7è Gén 8Go 1To Noir,"2 419,000 DT","Ecran:&nbsp;15.6''&nbsp;FULL HD (1920 x 1080 px) - Processeur:&nbsp;Intel Core i7-7700HQ&nbsp;7ème génération (&nbsp;2.8 GHz&nbsp;jusqu‘à 3.8 GHz,&nbsp;6Mo&nbsp;de mémoire cache, Quad-Core) - Systéme d'exploitation:&nbsp;FreeDos&nbsp;-&nbsp;Mémoire RAM:&nbsp;8Go&nbsp;DDR4&nbsp;2400 MHz -&nbsp;Disque Dur:&nbsp;1 To HDD -&nbsp;Carte Graphique:&nbsp;Nvidia GeForce&nbsp;GTX&nbsp;1050Ti&nbsp;(4Go&nbsp;de mémoire&nbsp;GDDR5)&nbsp;avec USB&nbsp;3.1 Gén.&nbsp;1 , USB&nbsp;3.1 Type-C , HDMI,...",https://www.mytek.tn/pc-gamer-/17532-pc-portable-dell-inspiron-7577-i7-8go-1to-noir.html,https://d2j7t5u190oygv.cloudfront.net/img/p/5/8/2/1/0/58210-product_category.jpg
